primitive_key,primitive_name,layer,parent_construct,product_key,product_name,guide_title,implementation_guide,best_for,limitations,integration_notes,evidence_url,evidence_note,last_verified_yyyy_mm_dd,confidence_pct
conversation_history,Conversation History,L7,Session Context,azure_ai_foundry,Azure AI Foundry,Agent Service thread state,"Map this primitive to Azure AI Foundry Agent Service threads and messages. Keep one durable thread per active interaction, persist long-lived history outside the UI session, and summarize older turns before replaying them into the next model call.",Multi-turn copilots and durable agent sessions,"Thread history alone is not a full memory strategy; long sessions still need summarization and external memory.",Pair Foundry threads with app-owned user/session IDs so telemetry and retention rules stay consistent.,,Azure AI Foundry Agent Service exposes assistants or agents plus threads messages and runs as first-class resources.,2026-04-12,88
session_context,Session Context,L7,Intent Parsers & UX,cursor_ide,Cursor IDE,,,,,,,,,
session_context,Session Context,L7,Intent Parsers & UX,claude_code,Claude Code,,,,,,,,,
policy_rule,Policy Rule,L6,Policy Engines,open_policy_agent,Open Policy Agent,,,,,,,,,
step_graph,Step Graph,L4,Execution Plan,azure_ai_foundry,Azure AI Foundry,Prompt flow DAG or workflow graph,"Represent the step graph as a Prompt flow DAG: each node is a model tool or Python step, and edges move typed outputs downstream. Keep the graph acyclic so runs stay replayable and debuggable in the Foundry flow canvas.",Deterministic orchestration and debuggable multi-step flows,"Open-ended multi-agent delegation fits Agent Service better than a rigid flow graph.",Use Prompt flow for bounded orchestration and let higher-level agent routing choose when to invoke the flow.,,Azure AI Foundry Prompt flow uses node-and-edge flows for orchestration authoring execution and debugging.,2026-04-12,90
node_list,Node List,L4,Dependency Graph,azure_ai_foundry,Azure AI Foundry,Flow node inventory,"Treat each Prompt flow node definition as one node-list entry. Capture node name node type declared inputs or outputs and model or tool binding so the graph can be validated before deployment.",Flow validation release review and regression debugging,"Node metadata drifts quickly if flow YAML and portal edits are not kept in sync.",Generate node inventories from the same source used to deploy the flow whenever possible.,,Prompt flow authoring defines explicit nodes with typed inputs outputs and execution roles.,2026-04-12,87
edge_list,Edge List,L4,Dependency Graph,azure_ai_foundry,Azure AI Foundry,Flow connections,"Model the edge list from Prompt flow links between node outputs and downstream inputs. Keep data contracts explicit especially when chaining model outputs into tools so flow revisions do not silently break downstream steps.",Typed flow composition and lineage inspection,"Weak schemas create brittle chains between model outputs and tool inputs.",Store input and output contracts near the edge mapping so reviews can catch schema drift early.,,Prompt flow connections wire upstream outputs into downstream inputs and surface lineage during debugging.,2026-04-12,87
agent_id,Agent ID,L4,Agent Roster,azure_ai_foundry,Azure AI Foundry,Agent Service identity,"Use the Azure AI Foundry agent or assistant identifier as the stable agent_id. Keep it distinct from run IDs and thread IDs so telemetry permissions rollout state and cost records can all join back to one agent definition.",Agent cataloging telemetry joins and rollout management,"Teams often confuse agent identity with run or thread identity.",Normalize Foundry IDs into one app-level registry before cross-service analytics.,,Azure AI Foundry separates agent identity from thread and run resources.,2026-04-12,86
capability_tags,Capability Tags,L4,Agent Roster,azure_ai_foundry,Azure AI Foundry,Declared tool and knowledge capabilities,"Derive capability tags from the tools knowledge sources and model settings attached to an AI Foundry agent. Tags should describe what the agent can do—not who owns it—using labels like file_search grounded_answering code_interpreter or web_lookup.",Planner routing and agent discovery,"Capabilities inferred only from model names are too vague for robust routing.",Build tags from attached tools knowledge connectors and safety settings rather than hand-written blurbs.,,Agent definitions in Azure AI Foundry bind tools and knowledge sources that determine effective capabilities.,2026-04-12,85
status_enum,Status Enum,L4,Agent Roster,azure_ai_foundry,Azure AI Foundry,Run and agent lifecycle state,"Normalize Azure lifecycle states into a small operational enum such as idle running awaiting_tool failed and completed. Do not overload status with business meaning; keep it operational so dashboards retries and escalation logic stay deterministic.",Operational dashboards and retry logic,"Raw provider states vary by surface and can leak too much detail into higher layers.",Keep one provider-to-platform status mapping table and reuse it across UI and automation.,,Azure AI Foundry agent runs and tool calls expose execution lifecycle states that can be normalized for orchestration dashboards.,2026-04-12,84
